date,EFFR,USD/KRW
2014-12-24,0.13,1103.22
2014-12-25,0.13,1101.26
2014-12-26,0.13,1099.3
2014-12-29,0.13,1097.34
2014-12-30,0.13,1096.06
2014-12-31,0.06,1090.89
2015-01-01,0.09,1097.31
2015-01-02,0.12,1103.73
2015-01-05,0.12,1109.07
2015-01-06,0.12,1098.14
2015-01-07,0.12,1101.51
2015-01-08,0.12,1096.19
2015-01-09,0.12,1086.14
2015-01-12,0.12,1083.25
2015-01-13,0.12,1080.42
2015-01-14,0.12,1080.45
2015-01-15,0.12,1077.94
2015-01-16,0.13,1076.68
2015-01-19,0.125,1081.9250000000002
2015-01-20,0.12,1087.17
2015-01-21,0.12,1081.94
2015-01-22,0.12,1081.75
2015-01-23,0.12,1075.75
2015-01-26,0.12,1079.42
2015-01-27,0.11,1075.31
2015-01-28,0.12,1084.84
2015-01-29,0.11,1098.6
2015-01-30,0.06,1104.3
2015-02-02,0.12,1099.61
2015-02-03,0.12,1096.06
2015-02-04,0.11,1086.79
2015-02-05,0.12,1087.05
2015-02-06,0.11,1097.26
2015-02-09,0.12,1096.4
2015-02-10,0.12,1098.61
2015-02-11,0.12,1108.19
2015-02-12,0.12,1100.87
2015-02-13,0.12,1097.2
2015-02-16,0.12,1102.2649999999999
2015-02-17,0.12,1107.33
2015-02-18,0.12,1112.82
2015-02-19,0.12,1110.69
2015-02-20,0.12,1110.06
2015-02-23,0.11,1108.25
2015-02-24,0.11,1108.05
2015-02-25,0.11,1101.53
2015-02-26,0.11,1100.33
2015-02-27,0.06,1100.65
2015-03-02,0.12,1101.46
2015-03-03,0.12,1095.65
2015-03-04,0.11,1100.2
2015-03-05,0.11,1100.11
2015-03-06,0.12,1110.36
2015-03-09,0.12,1114.18
2015-03-10,0.12,1123.32
2015-03-11,0.11,1131.33
2015-03-12,0.11,1120.13
2015-03-13,0.11,1135.7
2015-03-16,0.12,1129.62
2015-03-17,0.12,1127.69
2015-03-18,0.11,1127.09
2015-03-19,0.12,1121.21
2015-03-20,0.12,1113.87
2015-03-23,0.12,1106.68
2015-03-24,0.11,1104.2
2015-03-25,0.12,1099.72
2015-03-26,0.11,1103.59
2015-03-27,0.12,1103.6
2015-03-30,0.12,1106.39
2015-03-31,0.06,1107.71
2015-04-01,0.12,1098.1
2015-04-02,0.12,1089.49
2015-04-03,0.12,1085.65
2015-04-06,0.13,1083.38
2015-04-07,0.12,1093.76
2015-04-08,0.12,1093.77
2015-04-09,0.12,1093.8
2015-04-10,0.12,1093.13
2015-04-13,0.13,1100.41
2015-04-14,0.13,1090.76
2015-04-15,0.13,1095.07
2015-04-16,0.13,1086.89
2015-04-17,0.13,1081.99
2015-04-20,0.13,1081.27
2015-04-21,0.13,1081.54
2015-04-22,0.13,1080.64
2015-04-23,0.13,1080.0
2015-04-24,0.13,1075.85
2015-04-27,0.13,1071.01
2015-04-28,0.13,1063.03
2015-04-29,0.13,1066.48
2015-04-30,0.08,1076.74
2015-05-01,0.13,1080.22
2015-05-04,0.13,1081.19
2015-05-05,0.13,1080.46
2015-05-06,0.13,1077.23
2015-05-07,0.13,1093.55
2015-05-08,0.13,1087.28
2015-05-11,0.13,1095.39
2015-05-12,0.13,1093.81
2015-05-13,0.13,1089.72
2015-05-14,0.13,1089.46
2015-05-15,0.13,1083.05
2015-05-18,0.13,1088.19
2015-05-19,0.12,1093.94
2015-05-20,0.12,1097.62
2015-05-21,0.12,1092.41
2015-05-22,0.13,1093.46
2015-05-25,0.125,1099.76
2015-05-26,0.12,1106.06
2015-05-27,0.12,1107.84
2015-05-28,0.12,1109.86
2015-05-29,0.08,1111.99
2015-06-01,0.12,1115.61
2015-06-02,0.12,1109.34
2015-06-03,0.13,1104.33
2015-06-04,0.13,1112.56
2015-06-05,0.13,1121.18
2015-06-08,0.13,1121.95
2015-06-09,0.13,1119.38
2015-06-10,0.13,1110.32
2015-06-11,0.13,1113.24
2015-06-12,0.13,1111.63
2015-06-15,0.13,1114.94
2015-06-16,0.14,1118.08
2015-06-17,0.14,1122.83
2015-06-18,0.14,1101.55
2015-06-19,0.13,1102.64
2015-06-22,0.13,1098.85
2015-06-23,0.13,1104.54
2015-06-24,0.13,1110.67
2015-06-25,0.13,1111.05
2015-06-26,0.13,1122.31
2015-06-29,0.14,1119.09
2015-06-30,0.08,1117.34
2015-07-01,0.13,1123.89
2015-07-02,0.13,1119.95
2015-07-03,0.13,1122.7649999999999
2015-07-06,0.13,1125.58
2015-07-07,0.13,1133.75
2015-07-08,0.13,1131.75
2015-07-09,0.13,1133.69
2015-07-10,0.13,1127.29
2015-07-13,0.13,1133.93
2015-07-14,0.13,1142.75
2015-07-15,0.13,1146.42
2015-07-16,0.14,1145.24
2015-07-17,0.13,1148.48
2015-07-20,0.14,1156.38
2015-07-21,0.13,1148.33
2015-07-22,0.13,1156.49
2015-07-23,0.13,1160.64
2015-07-24,0.13,1169.02
2015-07-27,0.14,1167.75
2015-07-28,0.14,1161.09
2015-07-29,0.14,1158.49
2015-07-30,0.14,1173.42
2015-07-31,0.08,1159.7
2015-08-03,0.14,1168.63
2015-08-04,0.14,1161.2
2015-08-05,0.14,1174.4
2015-08-06,0.14,1163.25
2015-08-07,0.14,1164.0
2015-08-10,0.14,1161.69
2015-08-11,0.15,1181.36
2015-08-12,0.15,1175.03
2015-08-13,0.15,1176.02
2015-08-14,0.14,1177.62
2015-08-17,0.15,1181.53
2015-08-18,0.15,1185.85
2015-08-19,0.15,1184.35
2015-08-20,0.15,1185.63
2015-08-21,0.15,1194.6
2015-08-24,0.15,1191.13
2015-08-25,0.15,1195.25
2015-08-26,0.14,1185.52
2015-08-27,0.14,1170.49
2015-08-28,0.14,1180.93
2015-08-31,0.08,1182.54
2015-09-01,0.14,1179.78
2015-09-02,0.14,1183.46
2015-09-03,0.14,1188.07
2015-09-04,0.14,1196.4
2015-09-07,0.14,1195.9850000000001
2015-09-08,0.14,1195.57
2015-09-09,0.14,1186.52
2015-09-10,0.14,1184.87
2015-09-11,0.14,1182.25
2015-09-14,0.14,1181.17
2015-09-15,0.14,1178.69
2015-09-16,0.14,1169.77
2015-09-17,0.14,1163.11
2015-09-18,0.14,1164.13
2015-09-21,0.14,1179.24
2015-09-22,0.14,1186.1
2015-09-23,0.14,1193.96
2015-09-24,0.14,1195.48
2015-09-25,0.13,1190.14
2015-09-28,0.13,1193.32
2015-09-29,0.13,1194.28
2015-09-30,0.07,1184.62
2015-10-01,0.13,1180.04
2015-10-02,0.13,1175.48
2015-10-05,0.13,1158.54
2015-10-06,0.13,1160.7
2015-10-07,0.13,1153.72
2015-10-08,0.13,1155.57
2015-10-09,0.13,1145.67
2015-10-12,0.13,1146.545
2015-10-13,0.13,1147.42
2015-10-14,0.13,1140.39
2015-10-15,0.13,1120.9
2015-10-16,0.13,1130.73
2015-10-19,0.13,1130.57
2015-10-20,0.13,1128.64
2015-10-21,0.13,1137.09
2015-10-22,0.12,1131.48
2015-10-23,0.12,1135.0
2015-10-26,0.12,1127.47
2015-10-27,0.12,1134.57
2015-10-28,0.12,1130.31
2015-10-29,0.12,1142.39
2015-10-30,0.07,1140.5
2015-11-02,0.12,1140.5
2015-11-03,0.12,1140.5
2015-11-04,0.12,1136.45
2015-11-05,0.12,1140.5
2015-11-06,0.12,1140.5
2015-11-09,0.12,1160.42
2015-11-10,0.12,1158.34
2015-11-11,0.12,1158.4699999999998
2015-11-12,0.12,1158.6
2015-11-13,0.12,1169.79
2015-11-16,0.13,1172.67
2015-11-17,0.13,1169.08
2015-11-18,0.12,1167.89
2015-11-19,0.12,1156.08
2015-11-20,0.12,1151.63
2015-11-23,0.12,1159.14
2015-11-24,0.12,1149.39
2015-11-25,0.12,1140.67
2015-11-26,0.12,1147.5500000000002
2015-11-27,0.12,1154.43
2015-11-30,0.08,1149.39
2015-12-01,0.13,1149.39
2015-12-02,0.13,1149.39
2015-12-03,0.13,1149.39
2015-12-04,0.13,1149.39
2015-12-07,0.13,1172.68
2015-12-08,0.13,1179.6
2015-12-09,0.14,1181.75
2015-12-10,0.14,1176.39
2015-12-11,0.14,1188.0
2015-12-14,0.15,1186.2
2015-12-15,0.15,1176.66
2015-12-16,0.15,1177.19
2015-12-17,0.37,1187.7
2015-12-18,0.37,1178.04
2015-12-21,0.36,1173.87
2015-12-22,0.36,1169.26
2015-12-23,0.36,1140.67
2015-12-24,0.36,1167.94
2015-12-25,0.36,1168.6
2015-12-28,0.36,1169.26
2015-12-29,0.36,1169.26
2015-12-30,0.35,1177.53
2015-12-31,0.2,1169.26
2016-01-01,0.28,1180.3600000000001
2016-01-04,0.36,1191.46
2016-01-05,0.36,1190.43
2016-01-06,0.36,1200.16
2016-01-07,0.36,1193.05
2016-01-08,0.36,1206.97
2016-01-11,0.36,1206.55
2016-01-12,0.36,1208.95
2016-01-13,0.36,1208.95
2016-01-14,0.36,1211.28
2016-01-15,0.36,1216.95
2016-01-18,0.36,1211.28
2016-01-19,0.36,1205.61
2016-01-20,0.37,1215.4
2016-01-21,0.37,1204.31
2016-01-22,0.38,1195.66
2016-01-25,0.38,1194.3
2016-01-26,0.38,1199.64
2016-01-27,0.38,1199.25
2016-01-28,0.38,1204.08
2016-01-29,0.29,1210.04
2016-02-01,0.38,1203.19
2016-02-02,0.38,1212.01
2016-02-03,0.38,1211.33
2016-02-04,0.38,1186.11
2016-02-05,0.38,1204.69
2016-02-08,0.38,1205.1
2016-02-09,0.38,1200.39
2016-02-10,0.38,1189.69
2016-02-11,0.38,1196.89
2016-02-12,0.38,1205.13
2016-02-15,0.38,1212.285
2016-02-16,0.38,1219.44
2016-02-17,0.37,1222.32
2016-02-18,0.38,1231.15
2016-02-19,0.38,1231.09
2016-02-22,0.38,1223.32
2016-02-23,0.38,1230.05
2016-02-24,0.38,1234.6
2016-02-25,0.37,1237.39
2016-02-26,0.37,1242.59
2016-02-29,0.29,1238.09
2016-03-01,0.36,1229.56
2016-03-02,0.37,1227.59
2016-03-03,0.37,1209.55
2016-03-04,0.36,1195.09
2016-03-07,0.36,1200.08
2016-03-08,0.36,1206.19
2016-03-09,0.36,1206.82
2016-03-10,0.36,1204.09
2016-03-11,0.36,1184.56
2016-03-14,0.36,1187.39
2016-03-15,0.37,1194.99
2016-03-16,0.37,1190.59
2016-03-17,0.37,1155.83
2016-03-18,0.37,1160.11
2016-03-21,0.37,1157.33
2016-03-22,0.37,1154.58
2016-03-23,0.37,1166.59
2016-03-24,0.37,1168.09
2016-03-25,0.37,1168.19
2016-03-28,0.37,1163.39
2016-03-29,0.37,1164.69
2016-03-30,0.37,1142.02
2016-03-31,0.25,1138.86
2016-04-01,0.37,1147.15
2016-04-04,0.37,1151.35
2016-04-05,0.37,1158.39
2016-04-06,0.37,1155.28
2016-04-07,0.37,1156.81
2016-04-08,0.37,1148.89
2016-04-11,0.37,1141.97
2016-04-12,0.37,1144.53
2016-04-13,0.37,1146.29
2016-04-14,0.37,1151.99
2016-04-15,0.37,1144.83
2016-04-18,0.37,1144.48
2016-04-19,0.37,1126.01
2016-04-20,0.37,1130.48
2016-04-21,0.37,1135.49
2016-04-22,0.37,1147.85
2016-04-25,0.37,1147.76
2016-04-26,0.37,1146.66
2016-04-27,0.37,1151.5
2016-04-28,0.37,1139.93
2016-04-29,0.3,1144.09
2016-05-02,0.37,1138.45
2016-05-03,0.37,1148.69
2016-05-04,0.37,1164.59
2016-05-05,0.37,1165.93
2016-05-06,0.37,1167.29
2016-05-09,0.37,1174.25
2016-05-10,0.37,1169.89
2016-05-11,0.37,1162.47
2016-05-12,0.37,1168.7
2016-05-13,0.37,1176.85
2016-05-16,0.37,1177.21
2016-05-17,0.37,1173.67
2016-05-18,0.37,1185.77
2016-05-19,0.37,1189.25
2016-05-20,0.37,1186.93
2016-05-23,0.37,1183.39
2016-05-24,0.37,1186.39
2016-05-25,0.37,1182.21
2016-05-26,0.37,1178.09
2016-05-27,0.37,1180.59
2016-05-30,0.32999999999999996,1184.79
2016-05-31,0.29,1188.99
2016-06-01,0.37,1192.09
2016-06-02,0.37,1186.69
2016-06-03,0.37,1167.79
2016-06-06,0.37,1162.28
2016-06-07,0.37,1154.8
2016-06-08,0.37,1153.83
2016-06-09,0.37,1159.29
2016-06-10,0.37,1167.61
2016-06-13,0.37,1169.74
2016-06-14,0.37,1176.78
2016-06-15,0.37,1167.53
2016-06-16,0.38,1176.49
2016-06-17,0.38,1171.77
2016-06-20,0.38,1156.8
2016-06-21,0.38,1154.35
2016-06-22,0.38,1147.99
2016-06-23,0.39,1143.27
2016-06-24,0.4,1167.56
2016-06-27,0.41,1181.24
2016-06-28,0.41,1169.31
2016-06-29,0.41,1153.09
